en_US;English;ltr
ar_MSA;العربية;rtl
ca_ES;Català;ltr
de_DE;Deutsch;ltr
es_ES;Español;ltr
fil_PH;Filipino;ltr
fr_FR;Français;ltr
it_IT;Italiano;ltr
no_NO;Norsk;ltr
pl_PL;Język polski;ltr
pt_BR;Português (Brasil);ltr
ru_RU;ру́сский;ltr
tr_TR;Türkçe;ltr
zh_CN;简化字;ltr
